Distribution of neutrino fluxes in the BP00 standard solar model model.

astro-ph/0010346

Columns in the Table below represent:

1) Radius of the zone in units of one solar radius
2) Temperature in units of 10^6 deg (K)
3) Logarithm (to the base 10) of the electron density in units of
   cm^{-3}/N_A, where N_A is the Avogadro number
4) Mass of the zone with the given radius in units of one solar mass
5) X(^7Be): beryllium-7 mass fraction
   [For special purposes, it is useful to know the 7^Be mass fraction.]
6) Fraction of pp neutrinos produced in the zone
7) Fraction of boron 8 neutrinos produced in the zone
8) Fraction of nitrogen 13 neutrinos produced in the zone
9) Fraction of oxygen 15 neutrinos produced in the zone
10) Fraction of florine 17 neutrinos produced in the zone
11) Fraction of beryllium 7 neutrinos produced in the zone
12) Fraction of pep neutrinos produced in the zone
13) Fraction of hep neutrinos produced in the zone

The integrated fluxes given in Table7 of BP00 are listed below:


 5.95E+00 1.400E-02 9.3E-07 4.77E-01 5.05E-04 5.48E-02 4.80E-02 5.63E-04

The Table begins here.
0.01320 15.635 2.006 1.141E-05 1.698E-11 7.100E-05 8.405E-04 6.692E-04 7.646E-04 7.917E-04 3.475E-04 1.112E-04 2.951E-05
0.01341 15.633 2.006 1.195E-05 1.696E-11 7.435E-05 8.781E-04 6.987E-04 7.986E-04 8.270E-04 3.635E-04 1.164E-04 3.093E-05
0.01362 15.631 2.006 1.251E-05 1.695E-11 7.786E-05 9.173E-04 7.298E-04 8.340E-04 8.639E-04 3.802E-04 1.219E-04 3.241E-05
0.01383 15.629 2.006 1.310E-05 1.693E-11 8.154E-05 9.581E-04 7.622E-04 8.710E-04 9.023E-04 3.976E-04 1.276E-04 3.396E-05
0.01404 15.627 2.005 1.372E-05 1.692E-11 8.540E-05 1.001E-03 7.959E-04 9.095E-04 9.423E-04 4.159E-04 1.336E-04 3.560E-05
0.01426 15.625 2.005 1.437E-05 1.690E-11 8.943E-05 1.045E-03 8.312E-04 9.496E-04 9.841E-04 4.349E-04 1.399E-04 3.731E-05
0.01448 15.622 2.005 1.505E-05 1.689E-11 9.366E-05 1.091E-03 8.675E-04 9.915E-04 1.028E-03 4.549E-04 1.465E-04 3.910E-05
0.01471 15.620 2.005 1.575E-05 1.687E-11 9.808E-05 1.140E-03 9.057E-04 1.035E-03 1.073E-03 4.757E-04 1.533E-04 4.098E-05
0.01494 15.618 2.005 1.650E-05 1.685E-11 1.027E-04 1.190E-03 9.456E-04 1.080E-03 1.120E-03 4.974E-04 1.605E-04 4.295E-05
0.01517 15.615 2.005 1.727E-05 1.683E-11 1.076E-04 1.242E-03 9.867E-04 1.128E-03 1.169E-03 5.201E-04 1.681E-04 4.502E-05
0.01541 15.613 2.005 1.809E-05 1.681E-11 1.127E-04 1.296E-03 1.030E-03 1.177E-03 1.220E-03 5.438E-04 1.759E-04 4.719E-05
