 Distribution of neutrino fluxes in the BS05(AGS,OP) standard solar model model.

astro-ph/0412440

The cumulative neutrino fluxes from Table 1 of BS05(AGS,OP) are given in the row below.
 
 6.058E+00 1.453E-02 8.254E-07 4.338E-01 4.508E-04 2.007E-02 1.445E-02 3.254E-04 

 
Columns in the Table below represent:

1) Radius of the zone in units of one solar radius
2) Temperature in units of 10^6 deg (K)
3) Logarithm (to the base 10) of the electron density in units of
  cm^{-3}/N_A, where N_A is the Avogadro number
4) Mass of the zone with the given radius in units of one solar mass 
5) X(^7Be): beryllium-7 mass fraction
  [For special purposes, it is useful to know the 7^Be mass fraction.]
6) Fraction of pp neutrinos produced in the zone 
7) Fraction of boron 8 neutrinos produced in the zone
8) Fraction of nitrogen 13 neutrinos produced in the zone
9) Fraction of oxygen 15 neutrinos produced in the zone
10) Fraction of florine 17 neutrinos produced in the zone
11) Fraction of beryllium 7 neutrinos produced in the zone
12) Fraction of pep neutrinos produced in the zone
13) Fraction of hep neutrinos produced in the zone
 
 0.03115 15.169 1.990 1.204e-04 1.337e-11 7.764e-04 6.220e-03 3.842e-03 5.333e-03 5.762e-03 3.122e-03 1.161e-03 3.648e-04 
 0.03156 15.161 1.989 1.233e-04 1.331e-11 7.951e-04 6.300e-03 3.896e-03 5.407e-03 5.839e-03 3.180e-03 1.187e-03 3.745e-04 
 0.03197 15.153 1.989 1.263e-04 1.325e-11 8.141e-04 6.378e-03 3.949e-03 5.480e-03 5.914e-03 3.239e-03 1.214e-03 3.843e-04 
 0.03238 15.145 1.988 1.293e-04 1.319e-11 8.331e-04 6.453e-03 4.001e-03 5.552e-03 5.987e-03 3.297e-03 1.241e-03 3.942e-04 
 0.03279 15.137 1.988 1.323e-04 1.313e-11 8.524e-04 6.527e-03 4.051e-03 5.622e-03 6.058e-03 3.354e-03 1.269e-03 4.042e-04 
 0.03320 15.129 1.987 1.354e-04 1.306e-11 8.717e-04 6.598e-03 4.100e-03 5.690e-03 6.127e-03 3.411e-03 1.296e-03 4.144e-04 
 0.03361 15.120 1.987 1.385e-04 1.300e-11 8.912e-04 6.666e-03 4.148e-03 5.756e-03 6.194e-03 3.468e-03 1.323e-03 4.247e-04 
 0.03402 15.112 1.986 1.416e-04 1.293e-11 9.109e-04 6.732e-03 4.194e-03 5.821e-03 6.259e-03 3.525e-03 1.351e-03 4.351e-04 
 0.03443 15.104 1.985 1.447e-04 1.287e-11 9.307e-04 6.796e-03 4.240e-03 5.884e-03 6.322e-03 3.580e-03 1.378e-03 4.456e-04 
 0.03484 15.095 1.985 1.479e-04 1.280e-11 9.506e-04 6.857e-03 4.283e-03 5.945e-03 6.383e-03 3.636e-03 1.406e-03 4.562e-04 
 0.03525 15.086 1.984 1.511e-04 1.274e-11 9.706e-04 6.915e-03 4.326e-03 6.003e-03 6.441e-03 3.691e-03 1.434e-03 4.669e-04 
 0.03566 15.078 1.984 1.543e-04 1.267e-11 9.908e-04 6.972e-03 4.367e-03 6.061e-03 6.497e-03 3.745e-03 1.462e-03 4.778e-04 
 0.03607 15.069 1.983 1.575e-04 1.260e-11 1.011e-03 7.025e-03 4.407e-03 6.116e-03 6.551e-03 3.799e-03 1.490e-03 4.888e-04 
 0.03648 15.060 1.982 1.608e-04 1.254e-11 1.031e-03 7.076e-03 4.445e-03 6.169e-03 6.603e-03 3.852e-03 1.518e-03 4.999e-04 
 0.03689 15.051 1.982 1.641e-04 1.247e-11 1.052e-03 7.124e-03 4.482e-03 6.220e-03 6.652e-03 3.905e-03 1.546e-03 5.111e-04 
 0.03730 15.042 1.981 1.674e-04 1.240e-11 1.073e-03 7.170e-03 4.518e-03 6.270e-03 6.699e-03 3.956e-03 1.575e-03 5.224e-04 
 0.03770 15.033 1.980 1.707e-04 1.233e-11 1.093e-03 7.212e-03 4.552e-03 6.317e-03 6.744e-03 4.008e-03 1.603e-03 5.339e-04 
 0.03811 15.023 1.980 1.740e-04 1.226e-11 1.114e-03 7.252e-03 4.584e-03 6.362e-03 6.786e-03 4.058e-03 1.631e-03 5.454e-04 
 0.03852 15.014 1.979 1.774e-04 1.219e-11 1.135e-03 7.290e-03 4.615e-03 6.405e-03 6.826e-03 4.108e-03 1.660e-03 5.571e-04 
 0.03893 15.005 1.978 1.808e-04 1.212e-11 1.156e-03 7.325e-03 4.645e-03 6.446e-03 6.864e-03 4.157e-03 1.688e-03 5.689e-04 
 0.03934 14.995 1.978 1.842e-04 1.205e-11 1.177e-03 7.356e-03 4.673e-03 6.485e-03 6.899e-03 4.205e-03 1.716e-03 5.807e-04 
 0.03975 14.985 1.977 1.877e-04 1.198e-11 1.198e-03 7.386e-03 4.699e-03 6.522e-03 6.932e-03 4.253e-03 1.745e-03 5.928e-04 
 0.04016 14.976 1.976 1.911e-04 1.190e-11 1.220e-03 7.412e-03 4.724e-03 6.557e-03 6.962e-03 4.300e-03 1.773e-03 6.049e-04 
 0.04057 14.966 1.976 1.946e-04 1.183e-11 1.241e-03 7.437e-03 4.748e-03 6.589e-03 6.990e-03 4.346e-03 1.802e-03 6.171e-04 
 0.04098 14.956 1.975 1.981e-04 1.176e-11 1.263e-03 7.458e-03 4.770e-03 6.620e-03 7.016e-03 4.391e-03 1.831e-03 6.294e-04 
 0.04139 14.946 1.974 2.016e-04 1.169e-11 1.284e-03 7.476e-03 4.790e-03 6.648e-03 7.039e-03 4.436e-03 1.859e-03 6.418e-04 
 0.04180 14.936 1.974 2.051e-04 1.161e-11 1.305e-03 7.492e-03 4.809e-03 6.675e-03 7.060e-03 4.479e-03 1.887e-03 6.543e-04 
 0.04221 14.926 1.973 2.087e-04 1.154e-11 1.327e-03 7.505e-03 4.827e-03 6.699e-03 7.079e-03 4.522e-03 1.916e-03 6.669e-04 
 0.04262 14.916 1.972 2.123e-04 1.146e-11 1.349e-03 7.515e-03 4.843e-03 6.721e-03 7.095e-03 4.563e-03 1.944e-03 6.796e-04 
 0.04303 14.906 1.971 2.159e-04 1.139e-11 1.371e-03 7.524e-03 4.858e-03 6.742e-03 7.109e-03 4.605e-03 1.973e-03 6.925e-04 
 0.04344 14.896 1.971 2.195e-04 1.132e-11 1.392e-03 7.529e-03 4.871e-03 6.760e-03 7.121e-03 4.644e-03 2.001e-03 7.054e-04 
 0.04385 14.885 1.970 2.231e-04 1.124e-11 1.414e-03 7.531e-03 4.882e-03 6.775e-03 7.130e-03 4.683e-03 2.030e-03 7.184e-04 
