 Distribution of neutrino fluxes in the BS05(OP) standard solar model model.

astro-ph/0412440

The cumulative neutrino fluxes from Table 1 of BS05(OP) are given in the row below.
 
 5.991E+00 1.421E-02 7.930E-07 4.844E-01 5.691E-04 3.066E-02 2.331E-02 5.836E-04 

 
Columns in the Table below represent:

1) Radius of the zone in units of one solar radius
2) Temperature in units of 10^6 deg (K)
3) Logarithm (to the base 10) of the electron density in units of
   cm^{-3}/N_A, where N_A is the Avogadro number
4) Mass of the zone with the given radius in units of one solar mass 
5) X(^7Be): beryllium-7 mass fraction
   [For special purposes, it is useful to know the 7^Be mass fraction.]
6) Fraction of pp neutrinos produced in the zone 
7) Fraction of boron 8 neutrinos produced in the zone
8) Fraction of nitrogen 13 neutrinos produced in the zone
9) Fraction of oxygen 15 neutrinos produced in the zone
10) Fraction of florine 17 neutrinos produced in the zone
11) Fraction of beryllium 7 neutrinos produced in the zone
12) Fraction of pep neutrinos produced in the zone
13) Fraction of hep neutrinos produced in the zone
 
 0.04262 15.092 1.972 2.150e-04 1.265e-11 1.343e-03 7.506e-03 5.133e-03 6.752e-03 7.119e-03 4.540e-03 1.950e-03 6.640e-04 
 0.04303 15.081 1.972 2.186e-04 1.257e-11 1.365e-03 7.515e-03 5.147e-03 6.771e-03 7.132e-03 4.581e-03 1.979e-03 6.767e-04 
 0.04344 15.071 1.971 2.222e-04 1.249e-11 1.387e-03 7.521e-03 5.160e-03 6.788e-03 7.144e-03 4.621e-03 2.007e-03 6.896e-04 
 0.04385 15.060 1.970 2.259e-04 1.241e-11 1.409e-03 7.525e-03 5.172e-03 6.803e-03 7.153e-03 4.661e-03 2.036e-03 7.026e-04 
 0.04426 15.050 1.969 2.296e-04 1.233e-11 1.430e-03 7.525e-03 5.181e-03 6.816e-03 7.158e-03 4.699e-03 2.064e-03 7.156e-04 
 0.04467 15.039 1.969 2.333e-04 1.225e-11 1.452e-03 7.524e-03 5.190e-03 6.827e-03 7.163e-03 4.737e-03 2.093e-03 7.287e-04 
 0.04508 15.028 1.968 2.370e-04 1.217e-11 1.474e-03 7.520e-03 5.197e-03 6.836e-03 7.165e-03 4.773e-03 2.121e-03 7.420e-04 
 0.04549 15.017 1.967 2.407e-04 1.209e-11 1.496e-03 7.513e-03 5.201e-03 6.842e-03 7.164e-03 4.808e-03 2.149e-03 7.553e-04 
 0.04590 15.006 1.966 2.444e-04 1.201e-11 1.519e-03 7.505e-03 5.205e-03 6.847e-03 7.162e-03 4.843e-03 2.178e-03 7.688e-04 
 0.04631 14.995 1.965 2.482e-04 1.193e-11 1.541e-03 7.493e-03 5.207e-03 6.850e-03 7.157e-03 4.877e-03 2.206e-03 7.823e-04 
