# Distribution of neutrino fluxes in the B16(GS98) standard solar model model.
#
# arXiv:1611.09867
#
# Columns in the Table below represent:
#
# 1) Radius of the zone in units of one solar radius
# 2) Temperature in units of 10^6 deg (K)
# 3) Logarithm (to the base 10) of the electron density in units of
#   cm^{-3}/N_A, where N_A is the Avogadro number
# 4) Mass of the zone with the given radius in units of one solar mass
# 5) Fraction of pp neutrinos produced in the zone
# 6) Fraction of pep neutrinos produced in the zone
# 7) Fraction of hep neutrinos produced in the zone
# 8) Fraction of beryllium 7 neutrinos produced in the zone
# 9) Fraction of boron 8 neutrinos produced in the zone
# 10) Fraction of nitrogen 13 neutrinos produced in the zone
# 11) Fraction of oxygen 15 neutrinos produced in the zone
# 12) Fraction of florine 17 neutrinos produced in the zone
#
# FORMAT: (f6.4,tr1,f6.3,tr1,f5.3,tr2,9(e14.8,tr2))

0.0175 15.499 1.997  4.93943662e-05  6.25496828e-01  9.72340238e-01  2.66983604e-01  2.87346405e+00  6.67502066e+00  4.24061694e+00  5.74536791e+00  6.22369270e+00  
0.0180 15.493 1.997  5.21780203e-05  6.60811834e-01  1.02637306e+00  2.82608657e-01  3.02470367e+00  6.99849878e+00  4.44717483e+00  6.02522189e+00  6.52530161e+00  
0.0185 15.487 1.997  5.49968645e-05  6.96574846e-01  1.08098494e+00  2.98501444e-01  3.17654090e+00  7.31985955e+00  4.65255455e+00  6.30347945e+00  6.82496696e+00  
0.0190 15.481 1.996  5.78746549e-05  7.33089454e-01  1.13664147e+00  3.14793551e-01  3.33027434e+00  7.64198032e+00  4.85860620e+00  6.58264778e+00  7.12539298e+00  
0.0195 15.475 1.996  6.08714763e-05  7.71114704e-01  1.19451187e+00  3.31816568e-01  3.48926750e+00  7.97240430e+00  5.07013640e+00  6.86923865e+00  7.43361353e+00  
0.0200 15.468 1.995  6.38696001e-05  8.09157575e-01  1.25227535e+00  3.48934288e-01  3.64667542e+00  8.29530491e+00  5.27709357e+00  7.14963404e+00  7.73487728e+00  
0.0205 15.462 1.995  6.69823712e-05  8.48654779e-01  1.31215000e+00  3.66768605e-01  3.80890071e+00  8.62515164e+00  5.48869953e+00  7.43632795e+00  8.04269101e+00  
0.0210 15.455 1.994  7.01266326e-05  8.88550734e-01  1.37249479e+00  3.84870139e-01  3.97110996e+00  8.95080469e+00  5.69787654e+00  7.71973152e+00  8.34666728e+00  
0.0215 15.448 1.994  7.32917470e-05  9.28711274e-01  1.43309738e+00  4.03182461e-01  4.13263049e+00  9.27067484e+00  5.90363674e+00  7.99850558e+00  8.64534881e+00  
0.0220 15.441 1.993  7.66896337e-05  9.71818673e-01  1.49808850e+00  4.22877516e-01  4.30531576e+00  9.61116726e+00  6.12280390e+00  8.29544439e+00  8.96335902e+00  
